adresses;latitude;longitude
Aïn Chock, casablanca;33.5563423;-7.6092186
Sidi Maarouf, casablanca;33.537776;-7.6469668
Ain Sebaa, casablanca;33.6085906;-7.524144079373121
Riviera, casablanca;33.5709378;-7.6363549
Maarif, casablanca;33.5827079;-7.6405711
Anfa, casablanca;33.5945144;-7.6200284
Oulfa, casablanca;33.5511902;-7.684483
Sbata, casablanca;33.5376589;-7.564046
Les Princesses, casablanca;;
Autre secteur, casablanca;;
Errahma, casablanca;33.5343348;-7.7322843
Belvédère, casablanca;33.591;-7.591
Lissasfa, casablanca;33.5314545;-7.6724261
Sidi Moumen, casablanca;33.5843834;-7.5072051
Hay Hassani, casablanca;33.5768181;-7.6730898
La Gironde, casablanca;33.5877908;-7.6011446
Roches Noires, casablanca;33.5931914;-7.5957822
Ben Ejdia, casablanca;;
Hay Chrifa, casablanca;33.2387115;-8.537994
Sidi Bernoussi, casablanca;33.6062969;-7.4977083
Bourgogne, casablanca;33.5978925;-7.6381616
Californie, casablanca;36.3214368;-119.2462335714034
Al Qods, casablanca;30.4252673;-9.5567541
Oasis, casablanca;33.24446905;-8.490641823870783
Route d'El Jadida, casablanca;33.5435039;-7.6535129
Ben M'sick, casablanca;33.5542611;-7.5813658
Al Madina Aljadida, casablanca;33.5575596;-7.5298491
Sidi Othmane, casablanca;33.5458189;-7.553191758765575
Aïn Borja, casablanca;33.5804376;-7.5920499
Al Mostakbal, casablanca;33.2412383;-8.5288834
Hay Moulay Rachid 2, casablanca;33.271525600000004;-7.565452535848675
Florida, casablanca;28.3185865;-80.6104058
Hay Moulay Rachid, casablanca;33.271525600000004;-7.565452535848675
Hay Mohammadi, casablanca;33.585596;-7.5668241
Quartier des Hôpitaux, casablanca;33.578;-7.615
Route d'Azemmour, casablanca;33.5706524;-7.7020182
Almaz, casablanca;;
Parc, casablanca;43.7054452;7.255834
Nassim, casablanca;33.5425588;-7.6519206
Centre Ville, casablanca;34.6841963;-1.9134537
2 Mars, casablanca;33.5690979;-7.6127062
Val Fleuri, casablanca;33.5723299;-7.6375056
Derb Ghallef, casablanca;33.57061365;-7.6300569530492695
Mandarona, casablanca;33.5325713;-7.6121917
Maârif Extension, casablanca;33.5638868;-7.6290377
Hay Sadri, casablanca;33.5712158;-7.5557687
Racine, casablanca;33.5869525;-7.636928
Al Fida, casablanca;33.5649078;-7.5965827
Aïn Diab, casablanca;33.5778663;-7.6911722
Hay Almassira 2, casablanca;;
Bachkou, casablanca;33.5420862;-7.6373108
Beauséjour, casablanca;33.5643393;-7.6479197
Casablanca Finance City, casablanca;33.554442550000005;-7.662666600993594
Palmier, casablanca;33.5798034;-7.6290863
Ferme Bretone, casablanca;;
Laimoune, casablanca;;
Mers Sultan, casablanca;33.5697456;-7.6087962
Gauthier, casablanca;33.5890772;-7.6323485
Habous, casablanca;33.56672005;-7.6358835648493795
Bournazil, casablanca;;
Hay Albaraka, casablanca;;
Hay Inara, casablanca;33.537;-7.6
C.I.L, casablanca;38.2664217;-0.7111901
Abdelmoumen, casablanca;33.5705527;-7.6259823
Hay Almassira 3, casablanca;;
Hay Laymouna, casablanca;;
Zone Industrielle, casablanca;33.601324700000006;-7.499428548804888
Derb Omar, casablanca;33.5717505;-7.6496562
Franceville, casablanca;33.5623105;-7.6297393
Hermitage, casablanca;33.5670073;-7.6205756
Fonciere, casablanca;33.59078135;-7.61992297884616
Triangle d'Or, casablanca;;
Hay El Farah, casablanca;33.5682583;-7.5871927
Hay Moulay Rachid 3, casablanca;33.271525600000004;-7.565452535848675
Sour Jdid, casablanca;33.6051188;-7.6209284
Zone Industrielle Moulay Rachid, casablanca;;
Alsace Lorraine, casablanca;33.5881538;-7.6125987
Hay Rajaa, casablanca;;
Hay Alfalah, casablanca;;
El Manar El Hank, casablanca;;
Tantonville, casablanca;;
Hay Moulay Rachid 5, casablanca;33.271525600000004;-7.565452535848675
Hay Moulay Rachid 4, casablanca;33.271525600000004;-7.565452535848675
Al Batha, casablanca;;
Polo, casablanca;-33.2708271;-71.3699257
Hay Hana, casablanca;33.57707895;-7.666133176827215
Douar Laarab, casablanca;;
M'nar, casablanca;;
M'Hamid, casablanca;33.5366093;-7.5806603
Toute la ville, casablanca;;
Sidi Abdellah Ghiat, casablanca;;
Route de Fès, casablanca;;
Route de Ouarzazate, casablanca;;
Tilila, casablanca;33.5464503;-7.6699108
Cité Adrar, casablanca;;
Hay Salam, casablanca;33.5456748;-7.6735958
Tanja Balia, casablanca;;
Route d'Ourika, casablanca;;
Route de Marrakech, casablanca;33.5365652;-7.6394728
Lahrarta, casablanca;;
Plage rose marae, casablanca;;
Al Boustane, casablanca;33.232194;-8.4867703
Les Ambassadeurs, casablanca;33.5942261;-7.6079929
Hay Riad, casablanca;33.780034900000004;-7.1610287748605845
Souissi, casablanca;;
Oued Tensift, casablanca;33.5545384;-7.6793287
Harhoura, casablanca;33.9164627;-6.9581652
Oued Ourika, casablanca;;
Guich Oudaya, casablanca;;
