adresses;latitude;longitude
Casablanca Finance City, Casablanca;;
Hay Moulay Rachid 4, Casablanca;33.271525600000004;-7.565452535848675
Oasis, Casablanca;33.24446905;-8.490641823870783
Oulfa, Casablanca;33.5511902;-7.684483
Quartier des Hôpitaux, Casablanca;33.578;-7.615
Belvédère, Casablanca;33.591;-7.591
Sidi Maarouf, Casablanca;33.537776;-7.6469668
Hay Chrifa, Casablanca;33.5349779;-7.609844
Sbata, Casablanca;33.5384743;-7.5546202
Roches Noires, Casablanca;33.5931914;-7.5957822
Aïn Diab, Casablanca;33.5778663;-7.6911722
Autre secteur, Casablanca;;
C.I.L, Casablanca;38.2664217;-0.7111901
Val d'Anfa, Casablanca;33.5938971;-7.6552632
Aïn Chock, Casablanca;33.5563423;-7.6092186
Californie, Casablanca;36.3214368;-119.2462335714034
Hay Hana, Casablanca;33.57707895;-7.666133176827215
Bourgogne, Casablanca;33.5978925;-7.6381616
Longchamps, Casablanca;-34.8522246;-58.3876877
Sidi Bernoussi, Casablanca;33.6090262;-7.4926832
Polo, Casablanca;1.1223;104.01645
Hermitage, Casablanca;33.5670073;-7.6205756
Laimoune, Casablanca;;
