adresses;latitude;longitude
Anfa, Casablanca;33.5945144;-7.6200284
Maârif, Casablanca;33.5761303;-7.63666
Palmier, Casablanca;33.5798034;-7.6290863
Les Hôpitaux, Casablanca;33.5800205;-7.6248546
Triangle d'Or, Casablanca;;
Gauthier, Casablanca;33.5890772;-7.6323485
Casablanca Finance City, Casablanca;;
Oasis, Casablanca;33.24446905;-8.490641823870783
Ain Diab, Casablanca;33.5778663;-7.6911722
CIL (Hay Salam), Casablanca;;
Ain Diab Extension, Casablanca;;
Laymoune, Casablanca;33.5380325;-7.6791714
Californie, Casablanca;36.3214368;-119.2462335714034
Oulfa, Casablanca;33.5511902;-7.684483
Franceville, Casablanca;33.5620431;-7.6369951
