adresses;latitude;longitude
Errahma, Casablanca;33.5343348;-7.7322843
Casablanca Finance City, Casablanca;;
Ain Sebaa, Casablanca;33.6085906;-7.524144079373121
Maarif, Casablanca;33.5827079;-7.6405711
Oulfa, Casablanca;33.5512214;-7.6843485
Quartier des Hôpitaux, Casablanca;33.578;-7.615
Sidi Maarouf, Casablanca;33.537776;-7.6469668
Palmier, Casablanca;33.5798034;-7.6290863
Les Princesses, Casablanca;;
Nassim, Casablanca;33.5425588;-7.6519206
Bourgogne, Casablanca;33.5978925;-7.6381616
Hay Alfalah, Casablanca;;
Almaz, Casablanca;;
La Gironde, Casablanca;33.5877908;-7.6011446
Aïn Chock, Casablanca;33.5563423;-7.6092186
Aïn Borja, Casablanca;33.5803061;-7.5919111
Abdelmoumen, Casablanca;33.5705527;-7.6259823
Belvédère, Casablanca;33.591;-7.591
Racine, Casablanca;33.5869525;-7.636928
Californie, Casablanca;36.3214368;-119.2462335714034
Sidi Moumen, Casablanca;33.5843834;-7.5072051
Val Fleuri, Casablanca;33.5723299;-7.6375056
Sidi Bernoussi, Casablanca;33.6090262;-7.4926832
Roches Noires, Casablanca;33.5931914;-7.5957822
Centre Ville, Casablanca;44.1012766;1.0908923
Anfa, Casablanca;33.5945144;-7.6200284
Autre secteur, Casablanca;;
C.I.L, Casablanca;38.2664217;-0.7111901
Hay Hassani, Casablanca;33.5723613;-7.6770872
2 Mars, Casablanca;33.5690979;-7.6127062
Route d'Azemmour, Casablanca;33.5706524;-7.7020182
Hay Laymouna, Casablanca;;
Laimoune, Casablanca;;
Aïn Diab, Casablanca;33.5778663;-7.6911722
Hay Inara, Casablanca;33.537;-7.6
Zone Industrielle, Casablanca;33.601324700000006;-7.499428548804888
