adresses;latitude;longitude
Moulay Youssef, Casablanca;33.6025069;-7.6329748
Mandarona, Casablanca;33.5325713;-7.6121917
Plateau (Al Batha), Casablanca;;
Oulfa, Casablanca;33.5511902;-7.684483
Almaz, Casablanca;;
Maârif Extension, Casablanca;33.5638868;-7.6290377
Californie, Casablanca;36.3214368;-119.2462335714034
Benjdia, Casablanca;;
Ain Diab, Casablanca;33.5778663;-7.6911722
Anfa, Casablanca;33.5945144;-7.6200284
CIL (Hay Salam), Casablanca;;
El Manar - El Hank, Casablanca;;
Sidi Maarouf, Casablanca;33.537776;-7.6469668
Maârif, Casablanca;33.5761303;-7.63666
Oasis, Casablanca;33.24446905;-8.490641823870783
Les Hôpitaux, Casablanca;33.5800205;-7.6248546
Anfa Supérieur, Casablanca;;
