Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
0,louer,4,"Sidi Maarouf, Casablanca",55,55,2,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
0,louer,4,"Autre secteur, Casablanca",94,84,3,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000
0,louer,4,"Sidi Maarouf, Casablanca",62,62,2,1,1,3,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,4000
0,louer,4,"Gauthier, Casablanca",140,130,3,2,1,4,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,8500
0,louer,4,"Bourgogne, Casablanca",100,100,2,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000
0,louer,4,"Aïn Chock, Casablanca",100,100,3,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3300
0,louer,4,"Maarif, Casablanca",140,140,3,3,1,4,3,1,1,1,1,1,0,1,1,0,0,1,0,0,0,9500
0,louer,4,"Oasis, Casablanca",40,40,1,1,1,2,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,7000
0,louer,4,"Gauthier, Casablanca",200,200,3,3,2,5,2,1,1,1,1,1,1,1,1,0,0,1,0,0,0,16500
0,louer,4,"Oulfa, Casablanca",96,96,3,2,1,4,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,5000
0,louer,4,"Sidi Maarouf, Casablanca",70,70,2,1,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4500
0,louer,4,"Sidi Maarouf, Casablanca",105,100,3,2,1,4,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,5800
0,louer,4,"Anfa, Casablanca",81,81,2,2,1,3,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,7500
0,louer,4,"Ain Sebaa, Casablanca",69,68,2,1,1,3,3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,3200
0,louer,4,"Palmier, Casablanca",54,54,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,0,7000
