Type,ville,ville_secteur,surface_totale,chambres,salle_bains,pieces,etat,age_bien,etage,standing,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,chauffage,garage,jardin,piscine,salon_marocain,salon_euro,prix
0,4,"Oulfa, Casablanca",68,2,2,3,0,0,-1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,850000
0,4,"Oulfa, Casablanca",52,2,1,3,0,0,-1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,250000
0,4,"Oasis, Casablanca",33,1,1,1,0,0,2,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,660000
0,4,"Tantonville, Casablanca",99,2,2,3,0,0,-1,2,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1830000
0,4,"Tantonville, Casablanca",118,3,2,4,0,0,1,2,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2161250
0,4,"Tantonville, Casablanca",129,3,3,5,0,0,-1,2,0,0,0,1,0,1,1,1,0,1,1,0,0,0,2491500
0,4,"Plateau (Al Batha), Casablanca",126,3,2,4,1,3,2,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2000000
0,4,"Oulfa, Casablanca",85,3,2,4,0,0,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1140000
0,4,"Almaz, Casablanca",95,2,2,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1000000
0,4,"Maârif Extension, Casablanca",167,2,2,3,0,2,4,2,1,0,0,1,1,1,1,1,0,1,0,0,1,1,2100000
0,4,"Californie, Casablanca",104,3,2,4,1,3,3,2,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1250000
0,4,"Hay Palestine, Casablanca",88,2,2,3,1,3,4,2,0,0,0,1,1,1,0,1,1,1,0,0,1,0,850000
0,4,"Benjdia, Casablanca",57,1,1,1,1,2,3,2,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1200000
0,4,"Maârif Extension, Casablanca",89,2,2,5,0,1,4,2,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1550000
0,4,"Laymoune, Casablanca",67,2,1,1,1,2,3,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,880000
0,4,"Roches Noires, Casablanca",75,2,1,2,1,3,3,2,0,0,0,1,1,1,1,1,0,1,0,0,1,0,800000
1,4,"Racine, Casablanca",239,4,2,2,2,2,-1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,5200000
1,4,"Californie, Casablanca",450,5,4,17,0,1,-1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,0,7500000
1,4,"Californie, Casablanca",680,5,4,7,1,3,-1,2,1,0,0,0,1,1,0,0,1,1,1,1,1,1,11900000
1,4,"Californie, Casablanca",252,3,3,7,1,2,-1,2,1,0,0,0,1,1,1,0,0,1,1,0,1,1,3580000
1,4,"CIL (Hay Salam), Casablanca",439,4,3,7,0,3,-1,2,1,0,0,0,1,1,1,1,0,1,1,1,1,1,7950000
1,4,"Californie, Casablanca",603,5,6,7,0,0,-1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,17000000
1,4,"Californie, Casablanca",630,5,4,6,0,4,-1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,12000000
1,4,"Ain Diab, Casablanca",645,4,3,6,1,3,-1,2,0,0,0,0,1,1,0,0,1,1,1,1,1,1,14500000
1,4,"Californie, Casablanca",417,3,3,3,1,2,-1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,7650000
1,4,"CIL (Hay Salam), Casablanca",400,4,3,5,1,2,-1,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,10000000
1,4,"Ain Diab, Casablanca",300,5,5,6,1,2,-1,2,1,0,0,0,0,1,0,1,0,1,1,0,0,0,7000000
1,4,"Almaz, Casablanca",320,6,4,3,1,1,-1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,4000000
1,4,"Mandarona, Casablanca",270,4,3,7,1,3,-1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,1,4900000
1,4,"Ain Diab, Casablanca",360,4,4,5,1,3,-1,2,1,0,0,1,0,0,1,1,0,1,1,0,0,1,8000000
1,4,"Ain Diab Extension, Casablanca",448,4,2,6,0,2,-1,2,1,0,0,0,1,1,1,0,0,1,1,0,1,1,8000000
1,4,"Californie, Casablanca",520,4,4,8,0,2,-1,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,7900000
