titre,Type,ville,secteur,surface_totale,chambres,salle_bains,pieces,etat,age_bien,etage,standing,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,chauffage,garage,jardin,piscine,salon_marocain,salon_euro,prix
Studio rénové avec 2 grandes terrasses,Appartement,Casablanca,Moulay Youssef,88,1,1,2,Nouveau,1-5 ans,Not_defined,Not_defined,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,1300000
Bel appartement à vendre à Mandarona. 2 belles chambres. Bien meublé,Appartement,Casablanca,Mandarona,66,2,2,3,Bon état,1-5 ans,3,Not_defined,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,1150000
Vente Appartement Val Fleury Casablanca,Appartement,Casablanca,Plateau (Al Batha),126,3,2,4,Bon état,10-20 ans,2,Not_defined,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,2000000
Appartement 3 chambre neuf,Appartement,Casablanca,Oulfa,85,3,2,4,Nouveau,Moins d'un an,2,Not_defined,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,1140000
2 Apparts Haut standing 2&3 étage 95m² &1er 112m²,Appartement,Casablanca,Almaz,95,2,2,1,Nouveau,Moins d'un an,3,Not_defined,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,1000000
Appartement de 167m2 a al forat maarif extension,Appartement,Casablanca,Maârif Extension,167,2,2,3,Nouveau,5-10 ans,4,Not_defined,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,2100000
Appartement Hamza en plein quartier Californie,Appartement,Casablanca,Californie,104,3,2,4,Bon état,10-20 ans,3,Not_defined,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,1250000
Appartement résidence Nadia,Appartement,Casablanca,Plateau (Al Batha),146,1,2,3,Bon état,20-30 ans,5,Not_defined,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,1850000
Superbe appartement à vendre à omar riffi. 1 belle chambre. Bien meublé,Appartement,Casablanca,Benjdia,57,1,1,1,Nouveau,5-10 ans,3,Not_defined,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,1150000
À vendre appartement 2chambres neuf maarif extension,Appartement,Casablanca,Maârif Extension,89,2,2,5,Nouveau,1-5 ans,4,Not_defined,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,1550000
Villa rénovée à vendre en résidence fermée à Californie,Villa,Casablanca,Californie,450,5,4,17,Nouveau,1-5 ans,Not_defined,Not_defined,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,7500000
Sublime villa 458 m2 vue mer avec rooftop,Villa,Casablanca,Ain Diab,458,4,3,5,Bon état,5-10 ans,Not_defined,Not_defined,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,7950000
Villa Angle de luxe 1000 m2 en plein coeur d’anfa,Villa,Casablanca,Anfa,1000,4,5,6,Bon état,10-20 ans,Not_defined,Not_defined,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,21000000
